feature_name,address,city,state,side,category,group_class,year_dedicated,year_rededicated,latitude,longitude
"""Comrades"" Confederate Monument",Court Square,Troy,AL,South,Monument,Monument,1908,NA,31.80758,-85.971835
"10"" Rifled Sea Coast Columbiad",65 Government Street,Mobile,AL,South,Monument,Monument,2004,NA,30.682866,-88.064809
Admiral Raphael Semmes Statue,65 Government Street,Mobile,AL,South,Monument,Monument,2000,NA,30.682866,-88.064809
Alabama Coat of Arms,NA,Montgomery,AL,South,Flag,Flag,1923,NA,32.3440112,-86.386467
Beauregard Elementary School,300 Lee Rd 431,Opelika,AL,South,School,School,NA,NA,32.5502439,-85.3739867
Beauregard High School,7343 Al Hwy 51,Opelika,AL,South,School,School,1923,NA,32.5504303,-85.3723297
Beauregard Street,NA,Montgomery,AL,South,Road / Street / Highway,Highway / Roadway,NA,NA,32.3696245,-86.2876887
Beauregard Street,NA,Dauphin Island,AL,South,Road / Street / Highway,Highway / Roadway,NA,NA,30.2482784,-88.0964263
Beauregard Street,NA,Mobile,AL,South,Road / Street / Highway,Highway / Roadway,NA,NA,30.6989638,-88.0506971
"Beauregard, AL (unincorporated area in Lee County)",NA,Beauregard,AL,South,Municipality,Municipality,NA,NA,32.5430599,-85.37083
Breastworks Confederate Memorial,West Pettus St.,Demopolis,AL,South,Monument,Monument,1941,NA,32.5102735,-87.8417859
Bullock County,NA,Union Springs,AL,South,County,County,1866,NA,32.144316,-85.7149495
Butler County Confederate Memorial,South Park Street & West Commerce Street,Greenville,AL,South,Monument,Monument,1903,NA,31.8295972,-86.6177517
Chilton County,NA,Clanton,AL,South,County,County,1868,NA,32.8387371,-86.6294262
City of Clanton,NA,Clanton,AL,South,Municipality,Municipality,1866,NA,32.839697,-86.6296943
City of Wheeler,NA,Wheeler,AL,South,Municipality,Municipality,NA,NA,34.7855778,-87.3873598
Cleburne County,NA,Heflin,AL,South,County,County,1866,NA,33.6444926,-85.5842385
Confederate Circle,NA,Monroeville,AL,South,Road / Street / Highway,Highway / Roadway,NA,NA,31.5140323,-87.3337914
Confederate Memorial,"Pickens County Courthouse; 100 Court Square, Carrollton, AL 35447",Carrollton,AL,South,Monument / Courthouse,Monument,1927,NA,33.26197,-88.094806
Confederate Memorial,Cherokee County Courthouse,Centre,AL,South,Monument / Courthouse,Monument,1988,NA,34.152171,-85.678933
Confederate Memorial Park,437 Co Rd 63,Marbury,AL,South,Park,Park,NA,NA,32.718869,-86.4740059
Confederate Monument,North Main And West Capitol,Demopolis,AL,South,Monument,Monument,1910,NA,32.5176361,-87.836402
Confederate Monument,Broad Ave And Eufaula Ave.,Eufaula,AL,South,Monument,Monument,1904,NA,31.7840963,-85.1745196
Confederate Monument,Union Park,Fort Payne,AL,South,Monument,Monument,1913,NA,34.4442547,-85.7196893
Confederate Monument,3-75 Public Square W,Jacksonville,AL,South,Monument,Monument,1910,NA,33.813852,-85.761589
Confederate Monument,Monument Park. 8Th St. And Geneva Ave.,Opelika,AL,South,Monument,Monument,1911,NA,32.645549,-85.37669
Confederate Monument,Autauga County Courthouse.,Prattville,AL,South,Monument,Monument,1908,NA,32.463686,-86.47506
Confederate Monument,St. Clair County Courthouse,Ashville,AL,South,Monument / Courthouse,Monument,1923,NA,33.836704,-86.254766
Confederate Monument,Choctaw County Courthouse,Butler,AL,South,Monument / Courthouse,Monument,1937,NA,32.089542,-88.221674
Confederate Monument,Morgan County Courthouse,Decatur,AL,South,Monument / Courthouse,Monument,1908,NA,34.6059253,-86.9833417
Confederate Monument,Fayette County Courthouse. West Columbus St. And South Temple Ave.,Fayette,AL,South,Monument / Courthouse,Monument,1929,NA,33.6658581,-87.8358652
Confederate Monument,Lauderdale County Courthouse. S. Court And E. College,Florence,AL,South,Monument / Courthouse,Monument,1903,NA,34.79981,-87.677251
Confederate Monument,Hale County Courthouse,Greensboro,AL,South,Monument / Courthouse,Monument,1904,NA,32.7040333,-87.5929604
Confederate Monument,Walker County Courthouse,Jasper,AL,South,Monument / Courthouse,Monument,1907,NA,33.8312185,-87.2775053
Confederate Monument,Sumter County Courthouse,Livingston,AL,South,Monument / Courthouse,Monument,1909,NA,32.5843025,-88.1872475
Confederate Monument,Lawrence County Courthouse,Moulton,AL,South,Monument / Courthouse,Monument,2006,NA,34.4813377,-87.2941554
Confederate Monument,Alabama State Capitol,Montgomery,AL,South,Monument,Monument,1898,NA,32.3785885,-86.3031097
Confederate Monument,Bibb County Courthouse,Centreville,AL,South,Monument / Courthouse,Monument,1910,NA,32.945262,-87.135423
Confederate Park,"Main, Capitol, Walnut, And Washington Sts.",Demopolis,AL,South,Park,Park,1910,NA,32.5176361,-87.836402
Confederate Park,NA,Greenville,AL,South,Park,Park,NA,NA,31.829232,-86.6228423
Confederate Parkway,NA,McCalla,AL,South,Road / Street / Highway,Highway / Roadway,NA,NA,33.2496523,-87.0718524
Confederate Soldier Monument,Courthouse Square. Marion St. And Market St.,Athens,AL,South,Monument / Courthouse,Monument,1909,NA,34.803122,-86.971336
Confederate Soldiers & Sailors Monument,Linn Park,Birmingham,AL,South,Monument,Monument,1905,NA,31.2069601,-81.8005724
Confederate Veteran's Memorial,Madison County Courthouse,Huntsville,AL,South,Monument / Courthouse,Monument,1905,NA,34.7301036,-86.5858605
Confederate Veterans Bicentennial Memorial,"Military Street, Marion County Courthouse",Hamilton,AL,South,Monument,Monument,1977,NA,34.1048004,-87.9890672
Confederate Veterans Monument,Colbert County Courthouse,Tuscumbia,AL,South,Monument / Courthouse,Monument,1911,NA,34.7336711,-87.7059554
Dale County Confederate Soldiers Monument,Dale County Courthouse,Ozark,AL,South,Monument,Monument,1910,NA,31.458446,-85.640371
Defense of Selma Memorial,Range St. And 4Th Ave,Selma,AL,South,Monument,Monument,1907,NA,32.4253797,-87.0243108
Dexter Avenue Monument,Dexter Ave.,Montgomery,AL,South,Monument,Monument,1942,NA,32.3775427,-86.3048402
Edmund Pettus Bridge,NA,Selma,AL,South,Bridge,Bridge,1940,NA,32.4055203,-87.0184779
Emma Sansom and Nathan Bedford Forrest Monument,1St St. And Broad,Gadsden,AL,South,Monument,Monument,1907,NA,34.014264,-86.0066386
Forrest Drive,NA,Livingston,AL,South,Road / Street / Highway,Highway / Roadway,NA,NA,32.5671894,-88.2156654
Forrest Street,NA,Mobile,AL,South,Road / Street / Highway,Highway / Roadway,NA,NA,30.657864,-88.0796877
Fort Rucker,NA,Fort Rucker,AL,South,Military Base,Military Base,1942,NA,32.5102735,-87.8417859
General Joseph Wheeler,4401 Mclean Drive,Rogersville,AL,South,Monument,Monument,2006,NA,34.8107695,-87.3312277
General N.B. Forrest Captured Col. A.D. Straight monument,Al-9,Cedar Bluff,AL,South,Monument,Monument,1939,NA,34.2339086,-85.5412043
Hale County,NA,Greensboro,AL,South,County,County,1867,NA,32.7045753,-87.5958396
Henry County Confederate Memorial,Town Square,Headland,AL,South,Monument,Monument,1936,NA,31.351284,-85.3421559
Hood Street,NA,Livingston,AL,South,Road / Street / Highway,Highway / Roadway,NA,NA,32.5671894,-88.2156654
Jeb Stewart Place,NA,Ozark,AL,South,Road / Street / Highway,Highway / Roadway,NA,NA,31.423194,-85.6715527
Jeff Davis Street,NA,Fair Hope,AL,South,Road / Street / Highway,Highway / Roadway,NA,NA,30.528667,-87.886801
Jefferson Davis' Presidential Star,Alabama State Capitol,Montgomery,AL,South,Monument,Monument,1897,NA,32.3777375,-86.3002623
Jefferson Davis Avenue,NA,Montgomery,AL,South,Road / Street / Highway,Highway / Roadway,NA,NA,32.3661567,-86.3182802
Jefferson Davis Community College,220 Alco Drive,Brewton,AL,South,School,School,1965,NA,31.102184,-87.086582
Jefferson Davis Drive,NA,Livingston,AL,South,Road / Street / Highway,Highway / Roadway,NA,NA,32.5671894,-88.2156654
Jefferson Davis High School,3420 Carter Hill Rd,Montgomery,AL,South,School,School,1968,NA,32.3432121,-86.2629776
Jefferson Davis Highway,NA,NA,AL,South,Road / Street / Highway,Highway / Roadway,NA,NA,31.3389063,-88.0336117
Jefferson Davis Statue,Alabama State Capitol,Montgomery,AL,South,Monument,Monument,1940,NA,32.3778255,-86.3026864
Joe Wheeler State Park,4401 Mclean Dr.,Rogersville,AL,South,Park,Park,1949,NA,34.8172997,-87.3455753
"John Allan Wyeth — M.D., L.L.D. Marker",S. Bainbridge St. And Dexter Ave. Near Alabama State Capitol,Montgomery,AL,South,Monument,Monument,NA,NA,32.3668052,-86.2999689
Johnston Street,NA,Mobile,AL,South,Road / Street / Highway,Highway / Roadway,NA,NA,30.659535,-88.0792817
Lee County,NA,Opelika,AL,South,County,County,1866,NA,32.6454116,-85.3782795
Lee High School,2500 Meridian St,Hunstville,AL,South,School,School,1957,NA,34.755069399999996,-86.5782078
Lee Highway,NA,NA,AL,South,Road / Street / Highway,Highway / Roadway,NA,NA,34.6462562,-87.1552511
Lee Street,NA,Livingston,AL,South,Road / Street / Highway,Highway / Roadway,NA,NA,32.5671894,-88.2156654
Longstreet Drive,NA,Livingston,AL,South,Road / Street / Highway,Highway / Roadway,NA,NA,32.5671894,-88.2156654
Major John Pelham Monument,Quintard Ave.,Anniston,AL,South,Monument,Monument,1905,NA,33.6597806,-85.8268513
